City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,80.02,moderate rain,3.0707,172.7902,Isles Sunset Lodge
2,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
8,Isangel,VU,79.11,overcast clouds,-19.55,169.2667,Tanna Lodge
14,Rikitea,PF,77.36,light rain,-23.1203,-134.9692,People ThankYou
19,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
23,Atuona,PF,78.35,few clouds,-9.8,-139.0333,Villa Enata
24,Port Blair,IN,75.67,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
26,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
36,Busselton,AU,79.05,broken clouds,-33.65,115.3333,Observatory Guest House
37,Kavieng,PG,80.26,light rain,-2.5744,150.7967,Nusa Island Retreat
46,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
49,Iralaya,HN,80.69,broken clouds,15.0,-83.2333,Iglesia morava renovada
52,Iguape,BR,80.29,scattered clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
54,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
55,San Policarpo,PH,79.83,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
61,Dingle,PH,75.09,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
62,Mbandaka,CD,77.25,scattered clouds,0.0487,18.2603,Guest House Epervier
65,Sawakin,SD,77.58,broken clouds,19.1059,37.3321,فندق الدويم
66,Bengkulu,ID,76.17,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
69,Apatou,GF,78.78,broken clouds,5.155,-54.3472,Yoto quensha
81,Sao Mateus,BR,80.55,overcast clouds,-18.7161,-39.8589,Hotel Rio Norte
83,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
84,Kinkala,CG,79.11,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
86,Alta Floresta,BR,89.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
87,Jurado,CO,82.42,broken clouds,7.1053,-77.7641,
94,Coruripe,BR,85.17,light rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
95,Poum,NC,81.32,overcast clouds,-20.2333,164.0167,Gîte kajeon
98,Camana,PE,75.13,broken clouds,-16.6228,-72.7111,Hostal Morales
100,Unidos,PH,76.62,overcast clouds,8.5942,123.668,Aj A Lazaro/ Martin A Omandam
101,Vila Velha,BR,77.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
104,Cockburn Town,TC,75.42,clear sky,21.4612,-71.1419,Osprey Beach Hotel
106,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
107,Bassar,TG,89.6,clear sky,9.25,0.7833,Hôtel KYRIAD
108,Tucuman,AR,82.4,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
110,Acari,PE,82.74,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
111,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
115,Wawa,NG,84.94,clear sky,9.9022,4.4192,
116,Kinarut,MY,77.02,few clouds,5.8231,116.0466,Langkah Syabas Beach Resort
117,Kourou,GF,78.85,moderate rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
123,Goundam,ML,79.86,broken clouds,16.4145,-3.6708,
131,Dzaoudzi,YT,84.09,few clouds,-12.7887,45.2699,Le Rocher
132,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
134,Puerto Ayora,EC,82.36,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
137,Cidreira,BR,81.23,few clouds,-30.1811,-50.2056,Hotel Castelo
143,Lorengau,PG,79.18,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
145,Imbituba,BR,85.89,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
146,Bambous Virieux,MU,80.85,moderate rain,-20.3428,57.7575,Casa Tia Villa
156,Kelo,TD,79.57,clear sky,9.3086,15.8066,Plantation de Kelo
157,Chuy,UY,86.58,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
164,Micheweni,TZ,80.82,overcast clouds,-4.9667,39.8333,
167,Sao Filipe,CV,75.2,clear sky,14.8961,-24.4956,Hotel Xaguate
168,Sao Jose De Ribamar,BR,88.18,broken clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
169,Tallahassee,US,77.47,overcast clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
170,Tomatlan,MX,82.44,few clouds,19.9333,-105.25,El Salvial
177,Itupeva,BR,82.13,scattered clouds,-23.1531,-47.0578,Itupeva Plaza Hotel
195,Sorong,ID,80.42,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
201,Carauari,BR,82.9,overcast clouds,-4.8828,-66.8958,Hotel Fellip
206,Hithadhoo,MV,81.75,overcast clouds,-0.6,73.0833,Scoop Guest House
210,Kribi,CM,80.51,overcast clouds,2.95,9.9167,La Grace Hôtel
213,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
214,Atar,MR,84.16,clear sky,20.5169,-13.0499,Oumou Elghoura
216,Mandera,KE,88.59,few clouds,3.9366,41.867,Mwalimu Guest mandera
218,Doka,SD,85.98,broken clouds,13.5167,35.7667,
222,Akalkot,IN,75.06,few clouds,17.5333,76.2167,Hotel Vikas
225,Le Vauclin,MQ,86.05,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
227,Cayenne,GF,78.84,light rain,4.9333,-52.3333,Hôtel Le Dronmi
228,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
230,Diapaga,BF,78.44,clear sky,12.0708,1.7889,
232,Rawson,AR,77.49,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
235,Xai-Xai,MZ,79.93,clear sky,-25.0519,33.6442,Complexo da Familia
238,Baracoa,CU,75.9,broken clouds,20.3467,-74.4958,Hostal Rio Miel
