City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,52.48,96,100,1.88,light rain
1,Butaritari,KI,3.0707,172.7902,80.02,80,54,11.41,moderate rain
2,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds
3,Churapcha,RU,62.0025,132.4325,-23.58,100,100,2.35,overcast clouds
4,Longyearbyen,SJ,78.2186,15.6401,17.44,67,0,3.44,clear sky
5,Jamestown,US,42.097,-79.2353,31.08,55,100,12.66,light snow
6,Komsomolskiy,UZ,40.4272,71.7189,35.02,86,4,6.91,mist
7,Ushuaia,AR,-54.8,-68.3,47.82,61,75,14.97,broken clouds
8,Isangel,VU,-19.55,169.2667,79.11,87,100,6.29,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,65.89,76,49,10.16,scattered clouds
10,Jalu,LY,29.0331,21.5482,55.15,56,41,19.53,scattered clouds
11,Vostok,RU,46.4856,135.8833,-11.2,99,100,4.27,overcast clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,73.87,83,0,4.61,light rain
13,Fethiye,TR,36.6217,29.1164,46.27,77,98,4.99,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,77.36,77,100,14.41,light rain
15,Hobart,AU,-42.8794,147.3294,48.06,85,14,9.22,few clouds
16,Albany,US,42.6001,-73.9662,44.55,87,100,1.79,overcast clouds
17,Provideniya,RU,64.3833,-173.3,1.26,68,40,21.74,scattered clouds
18,Vaini,TO,-21.2,-175.2,71.76,100,20,2.3,few clouds
19,Kununurra,AU,-15.7667,128.7333,78.78,100,100,3.44,overcast clouds
20,Flinders,AU,-34.5833,150.8552,62.2,77,92,12.35,light rain
21,New Norfolk,AU,-42.7826,147.0587,47.71,72,9,2.64,clear sky
22,Kapaa,US,22.0752,-159.319,71.92,77,20,11.5,few clouds
23,Atuona,PF,-9.8,-139.0333,78.35,70,24,17.74,few clouds
24,Port Blair,IN,11.6667,92.75,75.67,76,34,7.63,scattered clouds
25,Northam,GB,51.0333,-4.2167,50.02,91,88,15.61,overcast clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,78,75,10.36,broken clouds
27,Oruro,BO,-17.9833,-67.15,48.69,81,100,11.5,overcast clouds
28,Galway,IE,53.2719,-9.0489,51.75,90,100,15.41,moderate rain
